Category defaults are already wired into movement creation in the service layer.,,,New movement UI also preloads category defaults.,,,,,,,,,,,,,,
Step 1 add categorize to row 3,,Normalize movement name: trim + lowercase + collapse spaces.,,Step 2 add movements to row 4 and below,,,,,,,,,,,,,
,,,,,,,,,,,,,,Rotator Cuff Stretch,,,
,,,,,,,,,,,,,,Banded Snatch Pass Over,,,
,,,,,,,,,,,,,,Hamstring Extensions,,,
,,,,,,,,,,,,,,Knee Glides,,,
,,,,,,,,,,,,,,Hip Glides,,,
,,,,,,,,,,,,,,Kneeling Lat Stretch,,,
,,,,,,,,,,,,,,Clean Sots Press,,,
,,,,,,,,,,,,,,Snatch Sots Press,,,
,,,,,,,,,,,,,,Doorway Hip Opener,,,
,,,,,,,,,,,,,,Hip Circles,,,
,,,,,,,,,,,,,,Hip Flexor Thrust,,,
,,,,,,,,,,,,,,Lateral Sway/Cossack Squats,,,
,,,,,,,,,,,,,,Seated Lateral Arm Raises,,,
,,,,,,,,,,,,,,Plate Raisers,,,
,,,,,,,,,,,,,,PVC Pass Overs,,,
,,,,,,,,,,,,,,OH Palm Rollers with Bar,,,
,,,,,,,,,,,,,,Squat Pass Over,,,
,,,,,,,,,,,,,,Turtle Squat,,,
,,,,,,,,,,,,,,Cradle Rocks,,,
,,,,,,,,,,,,,,Wall Squat Slides,,,
,,,,,,,,,,,,,,Wall Glute Stretch,,,
,,,,,,,,,,,,,,Forearm Glides,,,
,,,,,,,,,,,,,,Rhomboid Stretch,,,
,,,,,,,,,,,,,,Shoulder Barbell Rollover,,,
,,,,,,,,,,,,,,Scap Presses,,,
,,,,,,,,,,,,,,Med Ball Pull Overs,,,
,,,,,,,,,,,,,,Front Rac Openers,,,
,,,,,,,,,,,,,,Ballet Reach,,,
,,,,,,,,,,,,,,Wall V-sit,,,
,,,,,,,,,,,,,,Bottom Squat Wall Twists,,,
,,,,,,,,,,,,,,Wall Calf Raisers,,,
,,,,,,,,,,,,,,Half Prayer,,,
,,,,,,,,,,,,,,Hip Snapper Sots Press,,,
,,,,,,,,,,,,,,DD Kick Overs,,,
,,,,,,,,,,,,,,Skull Crush Hang,,,
,,,,,,,,,,,,,,Seated Snatches,,,
,,,,,,,,,,,,,,OH Weighted Duck Walk,,,
